date,event_count,mean_severity,mean_duration,n_rain,n_snow,n_storm,n_fog,n_cold,n_hail,n_other,count_lag1,severity_lag1,count_lag3,severity_lag3,count_lag7,severity_lag7,count_lag14,severity_lag14,count_lag30,severity_lag30,roll3_count_mean,roll3_count_std,roll3_count_max,roll3_sev_mean,roll3_sev_std,roll7_count_mean,roll7_count_std,roll7_count_max,roll7_sev_mean,roll7_sev_std,roll14_count_mean,roll14_count_std,roll14_count_max,roll14_sev_mean,roll14_sev_std,stl_trend_count,stl_seasonal_count,stl_resid_count,stl_trend_sev,stl_seasonal_sev,stl_resid_sev,stl_annual_trend,stl_annual_seasonal,stl_annual_resid,fourier_sin_7d,fourier_cos_7d,fourier_sin_14d,fourier_cos_14d,fourier_sin_30d,fourier_cos_30d,fourier_sin_365d,fourier_cos_365d
2016-01-01,31,1.3225806451612903,289.64516129032256,7,18,0,2,0,0,0,,,,,,,,,,,31.0,0.0,31.0,1.3225806451612903,0.0,31.0,0.0,31.0,1.3225806451612903,0.0,31.0,0.0,31.0,1.3225806451612903,0.0,30.482352245893793,9.037999109812976,-8.520351355706769,1.7419310828674228,-0.12422116492320455,-0.295129272782928,72.11191258880956,-34.865108921423065,-6.2468036673865015,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2016-01-02,18,2.0,51.111111111111114,2,6,1,6,0,0,0,31.0,1.3225806451612903,,,,,,,,,24.5,9.192388155425117,31.0,1.661290322580645,0.4790078195134678,24.5,9.192388155425117,31.0,1.661290322580645,0.4790078195134678,24.5,9.192388155425117,31.0,1.661290322580645,0.4790078195134678,36.78189464960677,-13.12681388397988,-5.6550807656268915,1.7409596292436336,0.17748164853727508,0.08155872221909144,72.1124719756265,-60.61966902930761,6.507197053681097,0.7818314824680298,0.6234898018587336,0.4338837391175581,0.9009688679024191,0.20791169081775931,0.9781476007338057,0.017213356155834685,0.9998518392091162
2016-01-03,18,1.7222222222222223,207.61111111111111,2,9,0,3,0,0,0,18.0,2.0,,,,,,,,,22.333333333333332,7.505553499465135,31.0,1.6816009557945042,0.34053165938304064,22.333333333333332,7.505553499465135,31.0,1.6816009557945042,0.34053165938304064,22.333333333333332,7.505553499465135,31.0,1.6816009557945042,0.34053165938304064,42.69842736055577,-21.952244052459932,-2.746183308095837,1.738974692005762,-0.007383157632563055,-0.009369312150976583,72.1130450844879,-59.397746289589605,5.284701205101712,0.9749279121818236,-0.22252093395631434,0.7818314824680298,0.6234898018587336,0.40673664307580015,0.9135454576426009,0.03442161162274574,0.9994074007397048
2016-01-04,62,1.6290322580645162,83.91935483870968,5,38,0,16,0,0,0,18.0,1.7222222222222223,31.0,1.3225806451612903,,,,,,,32.666666666666664,25.403411844343534,62.0,1.7837514934289131,0.19298615183633727,32.25,20.758532382292028,62.0,1.6684587813620073,0.27928254693655347,32.25,20.758532382292028,62.0,1.6684587813620073,0.27928254693655347,48.249877998474,0.7816143311735941,12.968507670352409,1.7360426985473445,-0.07457272447251659,-0.03243771601031176,72.11363196981179,-10.071597512831984,-0.04203445697980612,0.43388373911755823,-0.900968867902419,0.9749279121818236,0.22252093395631445,0.5877852522924731,0.8090169943749475,0.051619667223253764,0.998666816288476
2016-01-05,59,1.694915254237288,86.08474576271186,24,17,0,18,0,0,0,62.0,1.6290322580645162,18.0,2.0,,,,,,,46.333333333333336,24.583192089989726,62.0,1.6820565781746755,0.04790721780161223,37.6,21.593980642762464,62.0,1.6737500759370634,0.24215500151540592,37.6,21.593980642762464,62.0,1.6737500759370634,0.24215500151540592,53.48755471627609,-8.191851357501308,13.70429664122522,1.7321699847035328,-0.07176141829587335,0.034506687829628735,72.1142326818347,-13.282655075652158,0.16842239381746538,-0.433883739117558,-0.9009688679024191,0.9749279121818236,-0.22252093395631434,0.7431448254773941,0.6691306063588582,0.06880242680231986,0.9976303053065857
2016-01-06,121,1.6694214876033058,72.61157024793388,37,60,0,22,0,0,0,59.0,1.694915254237288,18.0,1.7222222222222223,,,,,,,80.66666666666667,34.961884007206095,121.0,1.6644563333017033,0.03322095519554622,51.5,39.144603714943905,121.0,1.673028644548104,0.21659722663652656,51.5,39.144603714943905,121.0,1.673028644548104,0.21659722663652656,58.45607053119835,59.13293512228502,3.410994346516631,1.7273630644438145,-0.1360644453769822,0.07812286853647343,72.1148472701338,44.65485194085112,4.230300789015089,-0.9749279121818236,-0.2225209339563146,0.7818314824680299,-0.6234898018587335,0.8660254037844386,0.5000000000000001,0.08596479873744647,0.9962981749346078
2016-01-07,196,1.9540816326530612,110.7295918367347,54,64,0,73,0,0,0,121.0,1.6694214876033058,62.0,1.6290322580645162,,,,,,,125.33333333333333,68.60272103447015,196.0,1.7728061248312184,0.1575058422292561,72.14285714285714,65.26721630198061,196.0,1.7131790714202406,0.22445421864669715,72.14285714285714,65.26721630198061,196.0,1.7131790714202406,0.22445421864669715,63.169454307295595,-31.43873621237413,164.26928190507851,1.7212864456798962,0.22908216404847315,0.003713022924691778,72.11547578368987,99.29087213379663,24.5936520825135,-0.7818314824680299,0.6234898018587334,0.43388373911755823,-0.900968867902419,0.9510565162951535,0.30901699437494745,0.10310169744743485,0.9946708199115211
2016-01-08,202,1.7524752475247525,118.81683168316832,68,70,1,61,0,0,0,196.0,1.9540816326530612,59.0,1.694915254237288,31.0,1.3225806451612903,,,,,173.0,45.13313638558702,202.0,1.7919927892603733,0.14638673650149084,96.57142857142857,78.0509601539429,202.0,1.7745925860435923,0.1442531906183913,88.375,75.88889905644962,202.0,1.7180910934333045,0.20826814562830778,67.52093120862409,9.550204564203693,124.92886422717223,1.7123505094039306,-0.08362617110838526,0.12375090922920706,72.11611826582211,108.36046859353728,21.523413140640614,-2.4492935982947064e-16,1.0,1.2246467991473532e-16,-1.0,0.9945218953682733,0.10452846326765346,0.1202080448993527,0.9927487224577402
2016-01-09,172,1.6162790697674418,97.48255813953489,56,64,0,48,0,0,0,202.0,1.7524752475247525,121.0,1.6694214876033058,18.0,2.0,,,,,190.0,15.874507866387514,202.0,1.774278649981752,0.1699534764047199,118.57142857142857,73.8012130497802,202.0,1.719775310296084,0.1140716362262991,97.66666666666667,76.26434291331697,202.0,1.7067786463593198,0.1977508812932009,70.57326950112353,-6.01911336854497,107.44584386742143,1.6962759872069222,0.07508894552105233,-0.15508586296053273,72.11677474394118,74.89815939517747,24.98506586088135,0.7818314824680296,0.6234898018587337,-0.433883739117558,-0.9009688679024191,0.9945218953682734,-0.10452846326765333,0.13727877211326478,0.9905324521322229
2016-01-10,145,1.6827586206896552,109.42758620689655,71,36,0,24,0,0,0,172.0,1.6162790697674418,196.0,1.9540816326530612,18.0,1.7222222222222223,,,,,173.0,28.51315485876649,202.0,1.6838376459939501,0.06810450007621205,136.71428571428572,59.10362167615532,202.0,1.7141376529342889,0.11490270871177062,102.4,73.44415868157552,202.0,1.7043766437923533,0.18659598479893375,73.62355100261293,-21.079196180756234,92.45564517814331,1.6794185891322992,0.017200603041753672,-0.013860571484397788,72.11744522779009,67.2413781163823,5.641176655827621,0.9749279121818237,-0.2225209339563141,-0.7818314824680297,-0.6234898018587337,0.9510565162951536,-0.30901699437494734,0.15430882066428117,0.9880226656636976
